"Gene"	"Freq"
"GNAS"	30
"MGMT"	26
"ALX4"	23
"KCNQ1"	23
"RB1"	21
"CHFR"	20
"WT1"	20
"RUNX3"	19
"CCND1"	18
"DLX5"	18
"GATA4"	18
"MSX1"	18
"ATP10A"	16
"H19"	16
"BCL2"	15
"DCC"	15
"SLC22A18"	15
"DIRAS3"	14
"SEMA3B"	14
"SOCS2"	14
"PEG10"	13
"SNRPN"	13
"CCND2"	12
"GRB10"	12
"KLK10"	12
"TP73"	12
"ZIM2"	12
"ZNF688"	12
"AR"	11
"ERBB2"	11
"IGF2AS"	11
"CDKN2B"	10
"GPSN2"	10
"MEST"	10
"BRCA1"	9
"C19orf30"	9
"CDH13"	9
"CDKN2A"	9
"DAB2IP"	9
"EFNB1"	9
"FHIT"	9
"ITPR2"	9
"PPME1"	9
"PTPRO"	9
"RASSF1"	9
"SACM1L"	9
"ZNF512"	9
"CALCA"	8
"CDH1"	8
"CDKN1C"	8
"DAPK1"	8
"EDNRB"	8
"EYA4"	8
"FEN1"	8
"GATA5"	8
"HOXB4"	8
"HSPA2"	8
"HSPC268"	8
"MGC33302"	8
"MRPL12"	8
"OSBPL5"	8
"PLAGL1"	8
"PTEN"	8
"RASSF5"	8
"SOCS1"	8
"UBE3A"	8
"UGDH"	8
"ALDH1A3"	7
"BNC1"	7
"BRAF"	7
"C1orf83"	7
"CD44"	7
"CDK2"	7
"CRABP1"	7
"CTSZ"	7
"DNM2"	7
"DUS2L"	7
"DUSP1"	7
"ESR1"	7
"FBXO28"	7
"GALR1"	7
"GNMT"	7
"GSTP1"	7
"HDAC11"	7
"LOX"	7
"MEG3"	7
"NNAT"	7
"OBFC2B"	7
"PHLDA2"	7
"PPP1R9A"	7
"RBP1"	7
"SERPINB5"	7
"SLC5A8"	7
"SMPD3"	7
"SRF"	7
"SYK"	7
"TFPI2"	7
"TWIST1"	7
"VHL"	7
"WDR37"	7
"APC"	6
"BCDIN3"	6
"BIK"	6
"CACNA1G"	6
"CASP8"	6
"CAV1"	6
"CDC7"	6
"CDKN1A"	6
"DNAJC18"	6
"FANCF"	6
"HOXA9"	6
"KCNQ1DN"	6
"KRAS"	6
"MLH1"	6
"MTHFR"	6
"NDN"	6
"NEUROG1"	6
"PIGO"	6
"POLR2G"	6
"PSMB6"	6
"PTGS2"	6
"PYCARD"	6
"RAB32"	6
"SFRP4"	6
"SMPDL3A"	6
"TGFBR2"	6
"THRB"	6
"TNFRSF10C"	6
"ZNF264"	6
"ANP32E"	5
"ATM"	5
"C10orf4"	5
"CCDC55"	5
"EML2"	5
"GPX3"	5
"HOXD4"	5
"IGF2"	5
"IGFBP3"	5
"IMPDH1"	5
"LOC129285"	5
"LOC51315"	5
"MUC1"	5
"PEG3"	5
"SFRP1"	5
"SFRP2"	5
"SFRP5"	5
"TNFRSF10D"	5
"TP53AP1"	5
"TRA2A"	5
"USP15"	5
"ZNF207"	5
"APBA1"	4
"APBA2"	4
"ASB4"	4
"ATG10"	4
"BCAP31"	4
"BTG4"	4
"C12orf24"	4
"COPG2"	4
"CYP1A1"	4
"DDX17"	4
"DLK1"	4
"DUSP4"	4
"EMR3"	4
"GLMN"	4
"GLUL"	4
"GPR153"	4
"HSD17B12"	4
"INS"	4
"ISYNA1"	4
"L3MBTL"	4
"LOC388152"	4
"MAGEL2"	4
"MKRN3"	4
"MYOD1"	4
"NR0B2"	4
"OTUD4"	4
"OVOL1"	4
"POLR3D"	4
"PRDM2"	4
"PRKCDBP"	4
"PWCR1"	4
"RARB"	4
"RING1"	4
"RNF185"	4
"RNF41"	4
"SKIP"	4
"SMARCA3"	4
"STK11"	4
"TCEB3C"	4
"THBS1"	4
"TIMP3"	4
"TMEM42"	4
"ZMYND10"	4
"ABCB4"	3
"ARF6"	3
"ASPH"	3
"ATRNL1"	3
"C12orf61"	3
"CALD1"	3
"CCNA1"	3
"CHD2"	3
"CHEK2"	3
"CLDND1"	3
"CPA4"	3
"CTDSP1"	3
"FLJ21106"	3
"FLJ36046"	3
"HIC1"	3
"HOXC5"	3
"ICA1"	3
"IKIP"	3
"PCQAP"	3
"PDIK1L"	3
"PRG2"	3
"PTPNS1"	3
"S100A9"	3
"SFRS2"	3
"SGCE"	3
"SUV420H2"	3
"WDR8"	3
"ZNF148"	3
"01-mar"	2
"02-apr"	2
"02-mar"	2
"03-mar"	2
"05-mar"	2
"06-mar"	2
"08-mar"	2
"1-Dec"	2
"1-Sep"	2
"10-Sep"	2
"11-Sep"	2
"15-Sep"	2
"2-Sep"	2
"3-Sep"	2
"5-Sep"	2
"6-Sep"	2
"7-Sep"	2
"9-Sep"	2
"A2BP1"	2
"A2ML1"	2
"A4GALT"	2
"A4GNT"	2
"AAAS"	2
"AACS"	2
"AADAT"	2
"AAMP"	2
"AANAT"	2
